Round	Game #	Home Team	Visitor Team
1	1	Team 6	Team 1
1	2	Team 5	Team 2
1	3	Team 3	Team 4
2	4	Team 2	Team 6
2	5	Team 1	Team 3
2	6	Team 4	Team 5
3	7	Team 6	Team 3
3	8	Team 2	Team 4
3	9	Team 5	Team 1
4	10	Team 4	Team 6
4	11	Team 3	Team 5
4	12	Team 1	Team 2
5	13	Team 6	Team 5
5	14	Team 4	Team 1
5	15	Team 2	Team 3
6	16	Team 1	Team 6
6	17	Team 2	Team 5
6	18	Team 4	Team 3
7	19	Team 6	Team 2
7	20	Team 3	Team 1
7	21	Team 5	Team 4
8	22	Team 3	Team 6
8	23	Team 4	Team 2
8	24	Team 1	Team 5
9	25	Team 6	Team 4
9	26	Team 5	Team 3
9	27	Team 2	Team 1
10	28	Team 5	Team 6
10	29	Team 1	Team 4
10	30	Team 3	Team 2
11	31	Team 6	Team 1
11	32	Team 5	Team 2
11	33	Team 3	Team 4
12	34	Team 2	Team 6
12	35	Team 1	Team 3
12	36	Team 4	Team 5
13	37	Team 6	Team 3
13	38	Team 2	Team 4
13	39	Team 5	Team 1
14	40	Team 4	Team 6
14	41	Team 3	Team 5
14	42	Team 1	Team 2
15	43	Team 6	Team 5
15	44	Team 4	Team 1
15	45	Team 2	Team 3
16	46	Team 1	Team 6
16	47	Team 2	Team 5
16	48	Team 4	Team 3
17	49	Team 6	Team 2
17	50	Team 3	Team 1
17	51	Team 5	Team 4
18	52	Team 3	Team 6
18	53	Team 4	Team 2
18	54	Team 1	Team 5
19	55	Team 6	Team 4
19	56	Team 5	Team 3
19	57	Team 2	Team 1
20	58	Team 5	Team 6
20	59	Team 1	Team 4
20	60	Team 3	Team 2
21	61	Team 6	Team 1
21	62	Team 5	Team 2
21	63	Team 3	Team 4
22	64	Team 2	Team 6
22	65	Team 1	Team 3
22	66	Team 4	Team 5
23	67	Team 6	Team 3
23	68	Team 2	Team 4
23	69	Team 5	Team 1
24	70	Team 4	Team 6
24	71	Team 3	Team 5
24	72	Team 1	Team 2
25	73	Team 6	Team 5
25	74	Team 4	Team 1
25	75	Team 2	Team 3
26	76	Team 1	Team 6
26	77	Team 2	Team 5
26	78	Team 4	Team 3
27	79	Team 6	Team 2
27	80	Team 3	Team 1
27	81	Team 5	Team 4
28	82	Team 3	Team 6
28	83	Team 4	Team 2
28	84	Team 1	Team 5
29	85	Team 6	Team 4
29	86	Team 5	Team 3
29	87	Team 2	Team 1
30	88	Team 5	Team 6
30	89	Team 1	Team 4
30	90	Team 3	Team 2
31	91	Team 6	Team 1
31	92	Team 5	Team 2
31	93	Team 3	Team 4
32	94	Team 2	Team 6
32	95	Team 1	Team 3
32	96	Team 4	Team 5
33	97	Team 6	Team 3
33	98	Team 2	Team 4
33	99	Team 5	Team 1
34	100	Team 4	Team 6
34	101	Team 3	Team 5
34	102	Team 1	Team 2
35	103	Team 6	Team 5
35	104	Team 4	Team 1
35	105	Team 2	Team 3
36	106	Team 1	Team 6
36	107	Team 2	Team 5
36	108	Team 4	Team 3
37	109	Team 6	Team 2
37	110	Team 3	Team 1
37	111	Team 5	Team 4
38	112	Team 3	Team 6
38	113	Team 4	Team 2
38	114	Team 1	Team 5
39	115	Team 6	Team 4
39	116	Team 5	Team 3
39	117	Team 2	Team 1
40	118	Team 5	Team 6
40	119	Team 1	Team 4
40	120	Team 3	Team 2
41	121	Team 6	Team 1
41	122	Team 5	Team 2
41	123	Team 3	Team 4
42	124	Team 2	Team 6
42	125	Team 1	Team 3
42	126	Team 4	Team 5
43	127	Team 6	Team 3
43	128	Team 2	Team 4
43	129	Team 5	Team 1
44	130	Team 4	Team 6
44	131	Team 3	Team 5
44	132	Team 1	Team 2
45	133	Team 6	Team 5
45	134	Team 4	Team 1
45	135	Team 2	Team 3
46	136	Team 1	Team 6
46	137	Team 2	Team 5
46	138	Team 4	Team 3
47	139	Team 6	Team 2
47	140	Team 3	Team 1
47	141	Team 5	Team 4
48	142	Team 3	Team 6
48	143	Team 4	Team 2
48	144	Team 1	Team 5
49	145	Team 6	Team 4
49	146	Team 5	Team 3
49	147	Team 2	Team 1
50	148	Team 5	Team 6
50	149	Team 1	Team 4
50	150	Team 3	Team 2
51	151	Team 6	Team 1
51	152	Team 5	Team 2
51	153	Team 3	Team 4
52	154	Team 2	Team 6
52	155	Team 1	Team 3
52	156	Team 4	Team 5
53	157	Team 6	Team 3
53	158	Team 2	Team 4
53	159	Team 5	Team 1
54	160	Team 4	Team 6
54	161	Team 3	Team 5
54	162	Team 1	Team 2
