Round	Game #	Home Team	Visitor Team
1	1	Team 2	Team 11
1	2	Team 10	Team 3
1	3	Team 4	Team 9
1	4	Team 8	Team 5
1	5	Team 6	Team 7
2	6	Team 3	Team 1
2	7	Team 11	Team 4
2	8	Team 5	Team 10
2	9	Team 9	Team 6
2	10	Team 7	Team 8
3	11	Team 4	Team 2
3	12	Team 1	Team 5
3	13	Team 6	Team 11
3	14	Team 10	Team 7
3	15	Team 8	Team 9
4	16	Team 5	Team 3
4	17	Team 2	Team 6
4	18	Team 7	Team 1
4	19	Team 11	Team 8
4	20	Team 9	Team 10
5	21	Team 6	Team 4
5	22	Team 3	Team 7
5	23	Team 8	Team 2
5	24	Team 1	Team 9
5	25	Team 10	Team 11
6	26	Team 7	Team 5
6	27	Team 4	Team 8
6	28	Team 9	Team 3
6	29	Team 2	Team 10
6	30	Team 11	Team 1
7	31	Team 8	Team 6
7	32	Team 5	Team 9
7	33	Team 10	Team 4
7	34	Team 3	Team 11
7	35	Team 1	Team 2
8	36	Team 9	Team 7
8	37	Team 6	Team 10
8	38	Team 11	Team 5
8	39	Team 4	Team 1
8	40	Team 2	Team 3
9	41	Team 10	Team 8
9	42	Team 7	Team 11
9	43	Team 1	Team 6
9	44	Team 5	Team 2
9	45	Team 3	Team 4
10	46	Team 11	Team 9
10	47	Team 8	Team 1
10	48	Team 2	Team 7
10	49	Team 6	Team 3
10	50	Team 4	Team 5
11	51	Team 1	Team 10
11	52	Team 9	Team 2
11	53	Team 3	Team 8
11	54	Team 7	Team 4
11	55	Team 5	Team 6
12	56	Team 11	Team 2
12	57	Team 3	Team 10
12	58	Team 9	Team 4
12	59	Team 5	Team 8
12	60	Team 7	Team 6
13	61	Team 1	Team 3
13	62	Team 4	Team 11
13	63	Team 10	Team 5
13	64	Team 6	Team 9
13	65	Team 8	Team 7
14	66	Team 2	Team 4
14	67	Team 5	Team 1
14	68	Team 11	Team 6
14	69	Team 7	Team 10
14	70	Team 9	Team 8
15	71	Team 3	Team 5
15	72	Team 6	Team 2
15	73	Team 1	Team 7
15	74	Team 8	Team 11
15	75	Team 10	Team 9
16	76	Team 4	Team 6
16	77	Team 7	Team 3
16	78	Team 2	Team 8
16	79	Team 9	Team 1
16	80	Team 11	Team 10
17	81	Team 5	Team 7
17	82	Team 8	Team 4
17	83	Team 3	Team 9
17	84	Team 10	Team 2
17	85	Team 1	Team 11
18	86	Team 6	Team 8
18	87	Team 9	Team 5
18	88	Team 4	Team 10
18	89	Team 11	Team 3
18	90	Team 2	Team 1
19	91	Team 7	Team 9
19	92	Team 10	Team 6
19	93	Team 5	Team 11
19	94	Team 1	Team 4
19	95	Team 3	Team 2
20	96	Team 8	Team 10
20	97	Team 11	Team 7
20	98	Team 6	Team 1
20	99	Team 2	Team 5
20	100	Team 4	Team 3
21	101	Team 9	Team 11
21	102	Team 1	Team 8
21	103	Team 7	Team 2
21	104	Team 3	Team 6
21	105	Team 5	Team 4
22	106	Team 10	Team 1
22	107	Team 2	Team 9
22	108	Team 8	Team 3
22	109	Team 4	Team 7
22	110	Team 6	Team 5
23	111	Team 2	Team 11
23	112	Team 10	Team 3
23	113	Team 4	Team 9
23	114	Team 8	Team 5
23	115	Team 6	Team 7
24	116	Team 3	Team 1
24	117	Team 11	Team 4
24	118	Team 5	Team 10
24	119	Team 9	Team 6
24	120	Team 7	Team 8
25	121	Team 4	Team 2
25	122	Team 1	Team 5
25	123	Team 6	Team 11
25	124	Team 10	Team 7
25	125	Team 8	Team 9
26	126	Team 5	Team 3
26	127	Team 2	Team 6
26	128	Team 7	Team 1
26	129	Team 11	Team 8
26	130	Team 9	Team 10
27	131	Team 6	Team 4
27	132	Team 3	Team 7
27	133	Team 8	Team 2
27	134	Team 1	Team 9
27	135	Team 10	Team 11
28	136	Team 7	Team 5
28	137	Team 4	Team 8
28	138	Team 9	Team 3
28	139	Team 2	Team 10
28	140	Team 11	Team 1
29	141	Team 8	Team 6
29	142	Team 5	Team 9
29	143	Team 10	Team 4
29	144	Team 3	Team 11
29	145	Team 1	Team 2
30	146	Team 9	Team 7
30	147	Team 6	Team 10
30	148	Team 11	Team 5
30	149	Team 4	Team 1
30	150	Team 2	Team 3
31	151	Team 10	Team 8
31	152	Team 7	Team 11
31	153	Team 1	Team 6
31	154	Team 5	Team 2
31	155	Team 3	Team 4
32	156	Team 11	Team 9
32	157	Team 8	Team 1
32	158	Team 2	Team 7
32	159	Team 6	Team 3
32	160	Team 4	Team 5
33	161	Team 1	Team 10
33	162	Team 9	Team 2
33	163	Team 3	Team 8
33	164	Team 7	Team 4
33	165	Team 5	Team 6
34	166	Team 11	Team 2
34	167	Team 3	Team 10
34	168	Team 9	Team 4
34	169	Team 5	Team 8
34	170	Team 7	Team 6
35	171	Team 1	Team 3
35	172	Team 4	Team 11
35	173	Team 10	Team 5
35	174	Team 6	Team 9
35	175	Team 8	Team 7
36	176	Team 2	Team 4
36	177	Team 5	Team 1
36	178	Team 11	Team 6
36	179	Team 7	Team 10
36	180	Team 9	Team 8
37	181	Team 3	Team 5
37	182	Team 6	Team 2
37	183	Team 1	Team 7
37	184	Team 8	Team 11
37	185	Team 10	Team 9
38	186	Team 4	Team 6
38	187	Team 7	Team 3
38	188	Team 2	Team 8
38	189	Team 9	Team 1
38	190	Team 11	Team 10
39	191	Team 5	Team 7
39	192	Team 8	Team 4
39	193	Team 3	Team 9
39	194	Team 10	Team 2
39	195	Team 1	Team 11
40	196	Team 6	Team 8
40	197	Team 9	Team 5
40	198	Team 4	Team 10
40	199	Team 11	Team 3
40	200	Team 2	Team 1
41	201	Team 7	Team 9
41	202	Team 10	Team 6
41	203	Team 5	Team 11
41	204	Team 1	Team 4
41	205	Team 3	Team 2
42	206	Team 8	Team 10
42	207	Team 11	Team 7
42	208	Team 6	Team 1
42	209	Team 2	Team 5
42	210	Team 4	Team 3
43	211	Team 9	Team 11
43	212	Team 1	Team 8
43	213	Team 7	Team 2
43	214	Team 3	Team 6
43	215	Team 5	Team 4
44	216	Team 10	Team 1
44	217	Team 2	Team 9
44	218	Team 8	Team 3
44	219	Team 4	Team 7
44	220	Team 6	Team 5
45	221	Team 2	Team 11
45	222	Team 10	Team 3
45	223	Team 4	Team 9
45	224	Team 8	Team 5
45	225	Team 6	Team 7
46	226	Team 3	Team 1
46	227	Team 11	Team 4
46	228	Team 5	Team 10
46	229	Team 9	Team 6
46	230	Team 7	Team 8
47	231	Team 4	Team 2
47	232	Team 1	Team 5
47	233	Team 6	Team 11
47	234	Team 10	Team 7
47	235	Team 8	Team 9
48	236	Team 5	Team 3
48	237	Team 2	Team 6
48	238	Team 7	Team 1
48	239	Team 11	Team 8
48	240	Team 9	Team 10
49	241	Team 6	Team 4
49	242	Team 3	Team 7
49	243	Team 8	Team 2
49	244	Team 1	Team 9
49	245	Team 10	Team 11
50	246	Team 7	Team 5
50	247	Team 4	Team 8
50	248	Team 9	Team 3
50	249	Team 2	Team 10
50	250	Team 11	Team 1
51	251	Team 8	Team 6
51	252	Team 5	Team 9
51	253	Team 10	Team 4
51	254	Team 3	Team 11
51	255	Team 1	Team 2
52	256	Team 9	Team 7
52	257	Team 6	Team 10
52	258	Team 11	Team 5
52	259	Team 4	Team 1
52	260	Team 2	Team 3
53	261	Team 10	Team 8
53	262	Team 7	Team 11
53	263	Team 1	Team 6
53	264	Team 5	Team 2
53	265	Team 3	Team 4
54	266	Team 11	Team 9
54	267	Team 8	Team 1
54	268	Team 2	Team 7
54	269	Team 6	Team 3
54	270	Team 4	Team 5
55	271	Team 1	Team 10
55	272	Team 9	Team 2
55	273	Team 3	Team 8
55	274	Team 7	Team 4
55	275	Team 5	Team 6
56	276	Team 11	Team 2
56	277	Team 3	Team 10
56	278	Team 9	Team 4
56	279	Team 5	Team 8
56	280	Team 7	Team 6
57	281	Team 1	Team 3
57	282	Team 4	Team 11
57	283	Team 10	Team 5
57	284	Team 6	Team 9
57	285	Team 8	Team 7
58	286	Team 2	Team 4
58	287	Team 5	Team 1
58	288	Team 11	Team 6
58	289	Team 7	Team 10
58	290	Team 9	Team 8
59	291	Team 3	Team 5
59	292	Team 6	Team 2
59	293	Team 1	Team 7
59	294	Team 8	Team 11
59	295	Team 10	Team 9
60	296	Team 4	Team 3
60	297	Team 2	Team 1
