Round	Game #	Home Team	Visitor Team
1	1	Team 2	Team 5
1	2	Team 4	Team 3
2	3	Team 3	Team 1
2	4	Team 5	Team 4
3	5	Team 4	Team 2
3	6	Team 1	Team 5
4	7	Team 5	Team 3
4	8	Team 2	Team 1
5	9	Team 1	Team 4
5	10	Team 3	Team 2
6	11	Team 5	Team 2
6	12	Team 3	Team 4
7	13	Team 1	Team 3
7	14	Team 4	Team 5
8	15	Team 2	Team 4
8	16	Team 5	Team 1
9	17	Team 3	Team 5
9	18	Team 1	Team 2
10	19	Team 4	Team 1
10	20	Team 2	Team 3
11	21	Team 2	Team 5
11	22	Team 4	Team 3
12	23	Team 3	Team 1
12	24	Team 5	Team 4
13	25	Team 4	Team 2
13	26	Team 1	Team 5
14	27	Team 5	Team 3
14	28	Team 2	Team 1
15	29	Team 1	Team 4
15	30	Team 3	Team 2
16	31	Team 5	Team 2
16	32	Team 3	Team 4
17	33	Team 1	Team 3
17	34	Team 4	Team 5
18	35	Team 2	Team 4
18	36	Team 5	Team 1
19	37	Team 3	Team 5
19	38	Team 1	Team 2
20	39	Team 4	Team 1
20	40	Team 2	Team 3
21	41	Team 2	Team 5
21	42	Team 4	Team 3
22	43	Team 3	Team 1
22	44	Team 5	Team 4
23	45	Team 4	Team 2
23	46	Team 1	Team 5
24	47	Team 5	Team 3
24	48	Team 2	Team 1
25	49	Team 1	Team 4
25	50	Team 3	Team 2
26	51	Team 5	Team 2
26	52	Team 3	Team 4
27	53	Team 1	Team 3
27	54	Team 4	Team 5
28	55	Team 2	Team 4
28	56	Team 5	Team 1
29	57	Team 3	Team 5
29	58	Team 1	Team 2
30	59	Team 4	Team 1
30	60	Team 2	Team 3
31	61	Team 2	Team 5
31	62	Team 4	Team 3
32	63	Team 3	Team 1
32	64	Team 5	Team 4
33	65	Team 4	Team 2
33	66	Team 1	Team 5
34	67	Team 5	Team 3
34	68	Team 2	Team 1
35	69	Team 1	Team 4
35	70	Team 3	Team 2
36	71	Team 5	Team 2
36	72	Team 3	Team 4
37	73	Team 1	Team 3
37	74	Team 4	Team 5
38	75	Team 2	Team 4
38	76	Team 5	Team 1
39	77	Team 3	Team 5
39	78	Team 1	Team 2
40	79	Team 4	Team 1
40	80	Team 2	Team 3
41	81	Team 2	Team 5
41	82	Team 4	Team 3
42	83	Team 3	Team 1
42	84	Team 5	Team 4
43	85	Team 4	Team 2
43	86	Team 1	Team 5
44	87	Team 5	Team 3
44	88	Team 2	Team 1
45	89	Team 1	Team 4
45	90	Team 3	Team 2
46	91	Team 5	Team 2
46	92	Team 3	Team 4
47	93	Team 1	Team 3
47	94	Team 4	Team 5
48	95	Team 2	Team 4
48	96	Team 5	Team 1
49	97	Team 3	Team 5
49	98	Team 1	Team 2
50	99	Team 4	Team 1
50	100	Team 2	Team 3
51	101	Team 2	Team 5
51	102	Team 4	Team 3
52	103	Team 3	Team 1
52	104	Team 5	Team 4
53	105	Team 4	Team 2
53	106	Team 1	Team 5
54	107	Team 5	Team 3
54	108	Team 2	Team 1
55	109	Team 1	Team 4
55	110	Team 3	Team 2
56	111	Team 5	Team 2
56	112	Team 3	Team 4
57	113	Team 1	Team 3
57	114	Team 4	Team 5
58	115	Team 2	Team 4
58	116	Team 5	Team 1
59	117	Team 3	Team 5
59	118	Team 1	Team 2
60	119	Team 4	Team 1
60	120	Team 2	Team 3
61	121	Team 2	Team 5
61	122	Team 4	Team 3
62	123	Team 3	Team 1
62	124	Team 5	Team 4
63	125	Team 4	Team 2
63	126	Team 1	Team 5
64	127	Team 5	Team 3
64	128	Team 2	Team 1
65	129	Team 1	Team 4
65	130	Team 3	Team 2
66	131	Team 5	Team 2
66	132	Team 3	Team 4
67	133	Team 1	Team 3
67	134	Team 4	Team 5
68	135	Team 2	Team 1
