Round	Game #	Home Team	Visitor Team
1	1	Team 2	Team 27
1	2	Team 26	Team 3
1	3	Team 4	Team 25
1	4	Team 24	Team 5
1	5	Team 6	Team 23
1	6	Team 22	Team 7
1	7	Team 8	Team 21
1	8	Team 20	Team 9
1	9	Team 10	Team 19
1	10	Team 18	Team 11
1	11	Team 12	Team 17
1	12	Team 16	Team 13
1	13	Team 14	Team 15
2	14	Team 3	Team 1
2	15	Team 27	Team 4
2	16	Team 5	Team 26
2	17	Team 25	Team 6
2	18	Team 7	Team 24
2	19	Team 23	Team 8
2	20	Team 9	Team 22
2	21	Team 21	Team 10
2	22	Team 11	Team 20
2	23	Team 19	Team 12
2	24	Team 13	Team 18
2	25	Team 17	Team 14
2	26	Team 15	Team 16
3	27	Team 4	Team 2
3	28	Team 1	Team 5
3	29	Team 6	Team 27
3	30	Team 26	Team 7
3	31	Team 8	Team 25
3	32	Team 24	Team 9
3	33	Team 10	Team 23
3	34	Team 22	Team 11
3	35	Team 12	Team 21
3	36	Team 20	Team 13
3	37	Team 14	Team 19
3	38	Team 18	Team 15
3	39	Team 16	Team 17
4	40	Team 5	Team 3
4	41	Team 2	Team 6
4	42	Team 7	Team 1
4	43	Team 27	Team 8
4	44	Team 9	Team 26
4	45	Team 25	Team 10
4	46	Team 11	Team 24
4	47	Team 23	Team 12
4	48	Team 13	Team 22
4	49	Team 21	Team 14
4	50	Team 15	Team 20
4	51	Team 19	Team 16
4	52	Team 17	Team 18
5	53	Team 6	Team 4
5	54	Team 3	Team 7
5	55	Team 8	Team 2
5	56	Team 1	Team 9
5	57	Team 10	Team 27
5	58	Team 26	Team 11
5	59	Team 12	Team 25
5	60	Team 24	Team 13
5	61	Team 14	Team 23
5	62	Team 22	Team 15
5	63	Team 16	Team 21
5	64	Team 20	Team 17
5	65	Team 18	Team 19
6	66	Team 7	Team 5
6	67	Team 4	Team 8
6	68	Team 9	Team 3
6	69	Team 2	Team 10
6	70	Team 11	Team 1
6	71	Team 27	Team 12
6	72	Team 13	Team 26
6	73	Team 25	Team 14
6	74	Team 15	Team 24
6	75	Team 23	Team 16
6	76	Team 17	Team 22
6	77	Team 21	Team 18
6	78	Team 19	Team 20
7	79	Team 8	Team 6
7	80	Team 5	Team 9
7	81	Team 10	Team 4
7	82	Team 3	Team 11
7	83	Team 12	Team 2
7	84	Team 1	Team 13
7	85	Team 14	Team 27
7	86	Team 26	Team 15
7	87	Team 16	Team 25
7	88	Team 24	Team 17
7	89	Team 18	Team 23
7	90	Team 22	Team 19
7	91	Team 20	Team 21
8	92	Team 9	Team 7
8	93	Team 6	Team 10
