Round	Game #	Home Team	Visitor Team
1	1	Team 4	Team 1
1	2	Team 3	Team 2
2	3	Team 2	Team 4
2	4	Team 1	Team 3
3	5	Team 4	Team 3
3	6	Team 2	Team 1
4	7	Team 1	Team 4
4	8	Team 2	Team 3
5	9	Team 4	Team 2
5	10	Team 3	Team 1
6	11	Team 3	Team 4
6	12	Team 1	Team 2
7	13	Team 4	Team 1
7	14	Team 3	Team 2
8	15	Team 2	Team 4
8	16	Team 1	Team 3
9	17	Team 4	Team 3
9	18	Team 2	Team 1
10	19	Team 1	Team 4
10	20	Team 2	Team 3
11	21	Team 4	Team 2
11	22	Team 3	Team 1
12	23	Team 3	Team 4
12	24	Team 1	Team 2
13	25	Team 4	Team 1
13	26	Team 3	Team 2
14	27	Team 2	Team 4
14	28	Team 1	Team 3
15	29	Team 4	Team 3
15	30	Team 2	Team 1
16	31	Team 1	Team 4
16	32	Team 2	Team 3
17	33	Team 4	Team 2
17	34	Team 3	Team 1
18	35	Team 3	Team 4
18	36	Team 1	Team 2
19	37	Team 4	Team 1
19	38	Team 3	Team 2
20	39	Team 2	Team 4
20	40	Team 1	Team 3
21	41	Team 4	Team 3
21	42	Team 2	Team 1
22	43	Team 1	Team 4
22	44	Team 2	Team 3
23	45	Team 4	Team 2
23	46	Team 3	Team 1
24	47	Team 3	Team 4
24	48	Team 1	Team 2
25	49	Team 4	Team 1
25	50	Team 3	Team 2
26	51	Team 2	Team 4
26	52	Team 1	Team 3
27	53	Team 4	Team 3
27	54	Team 2	Team 1
28	55	Team 1	Team 4
28	56	Team 2	Team 3
29	57	Team 4	Team 2
29	58	Team 3	Team 1
30	59	Team 3	Team 4
30	60	Team 1	Team 2
31	61	Team 4	Team 1
31	62	Team 3	Team 2
32	63	Team 2	Team 4
32	64	Team 1	Team 3
33	65	Team 4	Team 3
33	66	Team 2	Team 1
34	67	Team 1	Team 4
34	68	Team 2	Team 3
35	69	Team 4	Team 2
35	70	Team 3	Team 1
36	71	Team 3	Team 4
36	72	Team 1	Team 2
37	73	Team 4	Team 1
37	74	Team 3	Team 2
38	75	Team 2	Team 4
38	76	Team 1	Team 3
39	77	Team 4	Team 3
39	78	Team 2	Team 1
40	79	Team 1	Team 4
40	80	Team 2	Team 3
41	81	Team 4	Team 2
41	82	Team 3	Team 1
42	83	Team 3	Team 4
42	84	Team 1	Team 2
43	85	Team 4	Team 1
43	86	Team 3	Team 2
44	87	Team 2	Team 4
44	88	Team 1	Team 3
45	89	Team 4	Team 3
45	90	Team 2	Team 1
46	91	Team 1	Team 4
46	92	Team 2	Team 3
47	93	Team 4	Team 2
47	94	Team 3	Team 1
48	95	Team 3	Team 4
48	96	Team 1	Team 2
49	97	Team 4	Team 1
49	98	Team 3	Team 2
50	99	Team 2	Team 4
50	100	Team 1	Team 3
51	101	Team 4	Team 3
51	102	Team 2	Team 1
52	103	Team 1	Team 4
52	104	Team 2	Team 3
53	105	Team 4	Team 2
53	106	Team 3	Team 1
54	107	Team 3	Team 4
54	108	Team 1	Team 2
