Round	Game #	Home Team	Visitor Team
1	1	Team 2	Team 25
1	2	Team 24	Team 3
1	3	Team 4	Team 23
1	4	Team 22	Team 5
1	5	Team 6	Team 21
1	6	Team 20	Team 7
1	7	Team 8	Team 19
1	8	Team 18	Team 9
1	9	Team 10	Team 17
1	10	Team 16	Team 11
1	11	Team 12	Team 15
1	12	Team 14	Team 13
2	13	Team 3	Team 1
2	14	Team 25	Team 4
2	15	Team 5	Team 24
2	16	Team 23	Team 6
2	17	Team 7	Team 22
2	18	Team 21	Team 8
2	19	Team 9	Team 20
2	20	Team 19	Team 10
2	21	Team 11	Team 18
2	22	Team 17	Team 12
2	23	Team 13	Team 16
2	24	Team 15	Team 14
3	25	Team 4	Team 2
3	26	Team 1	Team 5
3	27	Team 6	Team 25
3	28	Team 24	Team 7
3	29	Team 8	Team 23
3	30	Team 22	Team 9
3	31	Team 10	Team 21
3	32	Team 20	Team 11
3	33	Team 12	Team 19
3	34	Team 18	Team 13
3	35	Team 14	Team 17
3	36	Team 16	Team 15
4	37	Team 5	Team 3
4	38	Team 2	Team 6
4	39	Team 7	Team 1
4	40	Team 25	Team 8
4	41	Team 9	Team 24
4	42	Team 23	Team 10
4	43	Team 11	Team 22
4	44	Team 21	Team 12
4	45	Team 13	Team 20
4	46	Team 19	Team 14
4	47	Team 15	Team 18
4	48	Team 17	Team 16
5	49	Team 6	Team 4
5	50	Team 3	Team 7
5	51	Team 8	Team 2
5	52	Team 1	Team 9
5	53	Team 10	Team 25
5	54	Team 24	Team 11
5	55	Team 12	Team 23
5	56	Team 22	Team 13
5	57	Team 14	Team 21
5	58	Team 20	Team 15
5	59	Team 16	Team 19
5	60	Team 18	Team 17
6	61	Team 7	Team 5
6	62	Team 4	Team 8
6	63	Team 9	Team 3
6	64	Team 2	Team 10
6	65	Team 11	Team 1
6	66	Team 25	Team 12
6	67	Team 13	Team 24
6	68	Team 23	Team 14
6	69	Team 15	Team 22
6	70	Team 21	Team 16
6	71	Team 17	Team 20
6	72	Team 19	Team 18
7	73	Team 8	Team 6
7	74	Team 5	Team 9
7	75	Team 10	Team 4
7	76	Team 3	Team 11
7	77	Team 12	Team 2
7	78	Team 1	Team 13
7	79	Team 14	Team 25
7	80	Team 24	Team 15
7	81	Team 16	Team 23
7	82	Team 22	Team 17
7	83	Team 18	Team 21
7	84	Team 20	Team 19
8	85	Team 9	Team 7
8	86	Team 6	Team 10
8	87	Team 11	Team 5
8	88	Team 4	Team 12
8	89	Team 13	Team 3
8	90	Team 2	Team 14
8	91	Team 15	Team 1
8	92	Team 25	Team 16
8	93	Team 17	Team 24
8	94	Team 23	Team 18
8	95	Team 19	Team 22
8	96	Team 21	Team 20
9	97	Team 10	Team 8
9	98	Team 7	Team 11
9	99	Team 12	Team 6
9	100	Team 5	Team 13
9	101	Team 14	Team 4
9	102	Team 3	Team 15
9	103	Team 16	Team 2
9	104	Team 1	Team 17
9	105	Team 18	Team 25
9	106	Team 24	Team 19
9	107	Team 20	Team 23
9	108	Team 22	Team 21
10	109	Team 11	Team 9
10	110	Team 8	Team 12
10	111	Team 13	Team 7
10	112	Team 6	Team 14
10	113	Team 15	Team 5
10	114	Team 4	Team 16
10	115	Team 17	Team 3
10	116	Team 2	Team 18
10	117	Team 19	Team 1
10	118	Team 25	Team 20
10	119	Team 21	Team 24
10	120	Team 23	Team 22
11	121	Team 12	Team 10
11	122	Team 9	Team 13
11	123	Team 14	Team 8
11	124	Team 7	Team 15
11	125	Team 16	Team 6
11	126	Team 5	Team 17
11	127	Team 18	Team 4
11	128	Team 3	Team 19
11	129	Team 20	Team 2
11	130	Team 1	Team 21
11	131	Team 22	Team 25
11	132	Team 24	Team 23
12	133	Team 13	Team 11
12	134	Team 10	Team 14
12	135	Team 15	Team 9
12	136	Team 8	Team 16
12	137	Team 17	Team 7
12	138	Team 6	Team 18
12	139	Team 19	Team 5
12	140	Team 4	Team 20
12	141	Team 21	Team 3
12	142	Team 2	Team 22
12	143	Team 23	Team 1
12	144	Team 25	Team 24
13	145	Team 14	Team 12
13	146	Team 11	Team 15
13	147	Team 16	Team 10
13	148	Team 9	Team 17
13	149	Team 18	Team 8
13	150	Team 7	Team 19
13	151	Team 20	Team 6
13	152	Team 5	Team 21
13	153	Team 22	Team 4
13	154	Team 3	Team 23
13	155	Team 24	Team 2
13	156	Team 1	Team 25
14	157	Team 15	Team 13
14	158	Team 12	Team 16
14	159	Team 17	Team 11
14	160	Team 10	Team 18
14	161	Team 19	Team 9
14	162	Team 8	Team 20
14	163	Team 21	Team 7
14	164	Team 6	Team 22
14	165	Team 23	Team 5
14	166	Team 4	Team 24
14	167	Team 25	Team 3
14	168	Team 2	Team 1
15	169	Team 16	Team 14
15	170	Team 13	Team 17
15	171	Team 18	Team 12
15	172	Team 11	Team 19
15	173	Team 20	Team 10
15	174	Team 9	Team 21
15	175	Team 22	Team 8
15	176	Team 7	Team 23
15	177	Team 24	Team 6
15	178	Team 5	Team 25
15	179	Team 1	Team 4
15	180	Team 3	Team 2
16	181	Team 17	Team 15
16	182	Team 14	Team 18
16	183	Team 19	Team 13
16	184	Team 12	Team 20
16	185	Team 21	Team 11
16	186	Team 10	Team 22
16	187	Team 23	Team 9
16	188	Team 8	Team 24
16	189	Team 25	Team 7
16	190	Team 6	Team 1
16	191	Team 2	Team 5
16	192	Team 4	Team 3
17	193	Team 18	Team 16
17	194	Team 15	Team 19
17	195	Team 20	Team 14
17	196	Team 13	Team 21
17	197	Team 22	Team 12
17	198	Team 11	Team 23
17	199	Team 24	Team 10
17	200	Team 9	Team 25
17	201	Team 1	Team 8
17	202	Team 7	Team 2
17	203	Team 3	Team 6
17	204	Team 5	Team 4
18	205	Team 19	Team 17
18	206	Team 16	Team 20
18	207	Team 21	Team 15
18	208	Team 14	Team 22
18	209	Team 23	Team 13
18	210	Team 12	Team 24
18	211	Team 25	Team 11
18	212	Team 10	Team 1
18	213	Team 2	Team 9
18	214	Team 8	Team 3
18	215	Team 4	Team 7
18	216	Team 6	Team 5
19	217	Team 20	Team 18
19	218	Team 17	Team 21
19	219	Team 22	Team 16
19	220	Team 15	Team 23
19	221	Team 24	Team 14
19	222	Team 13	Team 25
19	223	Team 1	Team 12
19	224	Team 11	Team 2
19	225	Team 3	Team 10
19	226	Team 9	Team 4
19	227	Team 5	Team 8
19	228	Team 7	Team 6
20	229	Team 21	Team 19
20	230	Team 18	Team 22
20	231	Team 23	Team 17
20	232	Team 16	Team 24
20	233	Team 25	Team 15
20	234	Team 14	Team 1
20	235	Team 2	Team 13
20	236	Team 12	Team 3
20	237	Team 4	Team 11
20	238	Team 10	Team 5
20	239	Team 6	Team 9
20	240	Team 8	Team 7
21	241	Team 22	Team 20
21	242	Team 19	Team 23
21	243	Team 24	Team 18
21	244	Team 17	Team 25
21	245	Team 1	Team 16
21	246	Team 15	Team 2
21	247	Team 3	Team 14
21	248	Team 13	Team 4
21	249	Team 5	Team 12
21	250	Team 11	Team 6
21	251	Team 7	Team 10
21	252	Team 9	Team 8
22	253	Team 23	Team 21
22	254	Team 20	Team 24
22	255	Team 25	Team 19
22	256	Team 18	Team 1
22	257	Team 2	Team 17
22	258	Team 16	Team 3
22	259	Team 4	Team 15
22	260	Team 14	Team 5
22	261	Team 6	Team 13
22	262	Team 12	Team 7
22	263	Team 8	Team 11
22	264	Team 10	Team 9
23	265	Team 24	Team 22
23	266	Team 21	Team 25
23	267	Team 1	Team 20
23	268	Team 19	Team 2
23	269	Team 3	Team 18
23	270	Team 17	Team 4
23	271	Team 5	Team 16
23	272	Team 15	Team 6
23	273	Team 7	Team 14
23	274	Team 13	Team 8
23	275	Team 9	Team 12
23	276	Team 11	Team 10
24	277	Team 25	Team 23
24	278	Team 22	Team 1
24	279	Team 2	Team 21
24	280	Team 20	Team 3
24	281	Team 4	Team 19
24	282	Team 18	Team 5
24	283	Team 6	Team 17
24	284	Team 16	Team 7
24	285	Team 8	Team 15
24	286	Team 14	Team 9
24	287	Team 10	Team 13
24	288	Team 12	Team 11
25	289	Team 1	Team 24
25	290	Team 23	Team 2
25	291	Team 3	Team 22
25	292	Team 21	Team 4
25	293	Team 5	Team 20
25	294	Team 19	Team 6
25	295	Team 7	Team 18
25	296	Team 17	Team 8
25	297	Team 9	Team 16
25	298	Team 15	Team 10
25	299	Team 11	Team 14
25	300	Team 13	Team 12
26	301	Team 25	Team 2
26	302	Team 3	Team 24
26	303	Team 23	Team 4
26	304	Team 5	Team 22
26	305	Team 21	Team 6
26	306	Team 7	Team 20
26	307	Team 19	Team 8
26	308	Team 9	Team 18
26	309	Team 17	Team 10
26	310	Team 11	Team 16
26	311	Team 15	Team 12
26	312	Team 13	Team 14
27	313	Team 1	Team 3
27	314	Team 4	Team 25
27	315	Team 24	Team 5
27	316	Team 6	Team 23
27	317	Team 22	Team 7
27	318	Team 8	Team 21
27	319	Team 20	Team 9
27	320	Team 10	Team 19
27	321	Team 18	Team 11
27	322	Team 12	Team 17
27	323	Team 16	Team 13
27	324	Team 14	Team 15
28	325	Team 2	Team 4
28	326	Team 5	Team 1
28	327	Team 25	Team 6
28	328	Team 7	Team 24
28	329	Team 23	Team 8
28	330	Team 9	Team 22
28	331	Team 21	Team 10
28	332	Team 11	Team 20
28	333	Team 19	Team 12
28	334	Team 13	Team 18
28	335	Team 17	Team 14
28	336	Team 15	Team 16
29	337	Team 3	Team 5
29	338	Team 6	Team 2
29	339	Team 1	Team 7
29	340	Team 8	Team 25
29	341	Team 24	Team 9
29	342	Team 10	Team 23
29	343	Team 22	Team 11
29	344	Team 12	Team 21
29	345	Team 20	Team 13
29	346	Team 14	Team 19
29	347	Team 18	Team 15
29	348	Team 16	Team 17
30	349	Team 4	Team 6
30	350	Team 7	Team 3
30	351	Team 2	Team 8
30	352	Team 9	Team 1
30	353	Team 25	Team 10
30	354	Team 11	Team 24
30	355	Team 23	Team 12
30	356	Team 13	Team 22
30	357	Team 21	Team 14
30	358	Team 15	Team 20
30	359	Team 19	Team 16
30	360	Team 17	Team 18
31	361	Team 5	Team 7
31	362	Team 8	Team 4
31	363	Team 3	Team 9
31	364	Team 10	Team 2
31	365	Team 1	Team 11
31	366	Team 12	Team 25
31	367	Team 24	Team 13
31	368	Team 14	Team 23
31	369	Team 22	Team 15
