Round	Game #	Home Team	Visitor Team
1	1	Team 2	Team 7
1	2	Team 6	Team 3
1	3	Team 4	Team 5
2	4	Team 3	Team 1
2	5	Team 7	Team 4
2	6	Team 5	Team 6
3	7	Team 4	Team 2
3	8	Team 1	Team 5
3	9	Team 6	Team 7
4	10	Team 5	Team 3
4	11	Team 2	Team 6
4	12	Team 7	Team 1
5	13	Team 6	Team 4
5	14	Team 3	Team 7
5	15	Team 1	Team 2
6	16	Team 7	Team 5
6	17	Team 4	Team 1
6	18	Team 2	Team 3
7	19	Team 1	Team 6
7	20	Team 5	Team 2
7	21	Team 3	Team 4
8	22	Team 7	Team 2
8	23	Team 3	Team 6
8	24	Team 5	Team 4
9	25	Team 1	Team 3
9	26	Team 4	Team 7
9	27	Team 6	Team 5
10	28	Team 2	Team 4
10	29	Team 5	Team 1
10	30	Team 7	Team 6
11	31	Team 3	Team 5
11	32	Team 6	Team 2
11	33	Team 1	Team 7
12	34	Team 4	Team 6
12	35	Team 7	Team 3
12	36	Team 2	Team 1
13	37	Team 5	Team 7
13	38	Team 1	Team 4
13	39	Team 3	Team 2
14	40	Team 6	Team 1
14	41	Team 2	Team 5
14	42	Team 4	Team 3
15	43	Team 2	Team 7
15	44	Team 6	Team 3
15	45	Team 4	Team 5
16	46	Team 3	Team 1
16	47	Team 7	Team 4
16	48	Team 5	Team 6
17	49	Team 4	Team 2
17	50	Team 1	Team 5
17	51	Team 6	Team 7
18	52	Team 5	Team 3
18	53	Team 2	Team 6
18	54	Team 7	Team 1
19	55	Team 6	Team 4
19	56	Team 3	Team 7
19	57	Team 1	Team 2
20	58	Team 7	Team 5
20	59	Team 4	Team 1
20	60	Team 2	Team 3
21	61	Team 1	Team 6
21	62	Team 5	Team 2
21	63	Team 3	Team 4
22	64	Team 7	Team 2
22	65	Team 3	Team 6
22	66	Team 5	Team 4
23	67	Team 1	Team 3
23	68	Team 4	Team 7
23	69	Team 6	Team 5
24	70	Team 2	Team 4
24	71	Team 5	Team 1
24	72	Team 7	Team 6
25	73	Team 3	Team 5
25	74	Team 6	Team 2
25	75	Team 1	Team 7
26	76	Team 4	Team 6
26	77	Team 7	Team 3
26	78	Team 2	Team 1
27	79	Team 5	Team 7
27	80	Team 1	Team 4
27	81	Team 3	Team 2
28	82	Team 6	Team 1
28	83	Team 2	Team 5
28	84	Team 4	Team 3
29	85	Team 2	Team 7
29	86	Team 6	Team 3
29	87	Team 4	Team 5
30	88	Team 3	Team 1
30	89	Team 7	Team 4
30	90	Team 5	Team 6
31	91	Team 4	Team 2
31	92	Team 1	Team 5
31	93	Team 6	Team 7
32	94	Team 5	Team 3
32	95	Team 2	Team 6
32	96	Team 7	Team 1
33	97	Team 6	Team 4
33	98	Team 3	Team 7
33	99	Team 1	Team 2
34	100	Team 7	Team 5
34	101	Team 4	Team 1
34	102	Team 2	Team 3
35	103	Team 1	Team 6
35	104	Team 5	Team 2
35	105	Team 3	Team 4
36	106	Team 7	Team 2
36	107	Team 3	Team 6
36	108	Team 5	Team 4
37	109	Team 1	Team 3
37	110	Team 4	Team 7
37	111	Team 6	Team 5
38	112	Team 2	Team 4
38	113	Team 5	Team 1
38	114	Team 7	Team 6
39	115	Team 3	Team 5
39	116	Team 6	Team 2
39	117	Team 1	Team 7
40	118	Team 4	Team 6
40	119	Team 7	Team 3
40	120	Team 2	Team 1
41	121	Team 5	Team 7
41	122	Team 1	Team 4
41	123	Team 3	Team 2
42	124	Team 6	Team 1
42	125	Team 2	Team 5
42	126	Team 4	Team 3
43	127	Team 2	Team 7
43	128	Team 6	Team 3
43	129	Team 4	Team 5
44	130	Team 3	Team 1
44	131	Team 7	Team 4
44	132	Team 5	Team 6
45	133	Team 4	Team 2
45	134	Team 1	Team 5
45	135	Team 6	Team 7
46	136	Team 5	Team 3
46	137	Team 2	Team 6
46	138	Team 7	Team 1
47	139	Team 6	Team 4
47	140	Team 3	Team 7
47	141	Team 1	Team 2
48	142	Team 7	Team 5
48	143	Team 4	Team 1
48	144	Team 2	Team 3
49	145	Team 1	Team 6
49	146	Team 5	Team 2
49	147	Team 3	Team 4
50	148	Team 7	Team 2
50	149	Team 3	Team 6
50	150	Team 5	Team 4
51	151	Team 1	Team 3
51	152	Team 4	Team 7
51	153	Team 6	Team 5
52	154	Team 2	Team 4
52	155	Team 5	Team 1
52	156	Team 7	Team 6
53	157	Team 3	Team 5
53	158	Team 6	Team 2
53	159	Team 1	Team 7
54	160	Team 4	Team 6
54	161	Team 7	Team 3
54	162	Team 2	Team 1
55	163	Team 5	Team 7
55	164	Team 1	Team 4
55	165	Team 3	Team 2
56	166	Team 6	Team 1
56	167	Team 2	Team 5
56	168	Team 4	Team 3
57	169	Team 2	Team 7
57	170	Team 6	Team 3
57	171	Team 4	Team 5
58	172	Team 3	Team 1
58	173	Team 7	Team 4
58	174	Team 5	Team 6
59	175	Team 4	Team 2
59	176	Team 1	Team 5
59	177	Team 6	Team 7
60	178	Team 5	Team 3
60	179	Team 2	Team 6
60	180	Team 7	Team 1
61	181	Team 6	Team 4
61	182	Team 3	Team 7
61	183	Team 1	Team 2
62	184	Team 7	Team 5
62	185	Team 4	Team 1
62	186	Team 2	Team 3
63	187	Team 1	Team 6
63	188	Team 5	Team 2
63	189	Team 3	Team 4
