Round	Game #	Home Team	Visitor Team
1	1	Team 16	Team 1
1	2	Team 15	Team 2
1	3	Team 3	Team 14
1	4	Team 13	Team 4
1	5	Team 5	Team 12
1	6	Team 11	Team 6
1	7	Team 7	Team 10
1	8	Team 9	Team 8
2	9	Team 2	Team 16
2	10	Team 1	Team 3
2	11	Team 4	Team 15
2	12	Team 14	Team 5
2	13	Team 6	Team 13
2	14	Team 12	Team 7
2	15	Team 8	Team 11
2	16	Team 10	Team 9
3	17	Team 16	Team 3
3	18	Team 2	Team 4
3	19	Team 5	Team 1
3	20	Team 15	Team 6
3	21	Team 7	Team 14
3	22	Team 13	Team 8
3	23	Team 9	Team 12
3	24	Team 11	Team 10
4	25	Team 4	Team 16
4	26	Team 3	Team 5
4	27	Team 6	Team 2
4	28	Team 1	Team 7
4	29	Team 8	Team 15
4	30	Team 14	Team 9
4	31	Team 10	Team 13
4	32	Team 12	Team 11
5	33	Team 16	Team 5
5	34	Team 4	Team 6
5	35	Team 7	Team 3
5	36	Team 2	Team 8
5	37	Team 9	Team 1
5	38	Team 15	Team 10
5	39	Team 11	Team 14
5	40	Team 13	Team 12
6	41	Team 6	Team 16
6	42	Team 5	Team 7
6	43	Team 8	Team 4
6	44	Team 3	Team 9
6	45	Team 10	Team 2
6	46	Team 1	Team 11
6	47	Team 12	Team 15
6	48	Team 14	Team 13
7	49	Team 16	Team 7
7	50	Team 6	Team 8
7	51	Team 9	Team 5
7	52	Team 4	Team 10
7	53	Team 11	Team 3
7	54	Team 2	Team 12
7	55	Team 13	Team 1
7	56	Team 15	Team 14
8	57	Team 8	Team 16
8	58	Team 7	Team 9
8	59	Team 10	Team 6
8	60	Team 5	Team 11
8	61	Team 12	Team 4
8	62	Team 3	Team 13
8	63	Team 14	Team 2
8	64	Team 1	Team 15
9	65	Team 16	Team 9
9	66	Team 8	Team 10
9	67	Team 11	Team 7
9	68	Team 6	Team 12
9	69	Team 13	Team 5
9	70	Team 4	Team 14
9	71	Team 15	Team 3
9	72	Team 2	Team 1
10	73	Team 10	Team 16
10	74	Team 9	Team 11
10	75	Team 12	Team 8
10	76	Team 7	Team 13
10	77	Team 14	Team 6
10	78	Team 5	Team 15
10	79	Team 1	Team 4
10	80	Team 3	Team 2
11	81	Team 16	Team 11
11	82	Team 10	Team 12
11	83	Team 13	Team 9
11	84	Team 8	Team 14
11	85	Team 15	Team 7
11	86	Team 6	Team 1
11	87	Team 2	Team 5
11	88	Team 4	Team 3
12	89	Team 12	Team 16
12	90	Team 11	Team 13
12	91	Team 14	Team 10
12	92	Team 9	Team 15
12	93	Team 1	Team 8
12	94	Team 7	Team 2
12	95	Team 3	Team 6
12	96	Team 5	Team 4
13	97	Team 16	Team 13
13	98	Team 12	Team 14
13	99	Team 15	Team 11
13	100	Team 10	Team 1
13	101	Team 2	Team 9
13	102	Team 8	Team 3
13	103	Team 4	Team 7
13	104	Team 6	Team 5
14	105	Team 14	Team 16
14	106	Team 13	Team 15
14	107	Team 1	Team 12
14	108	Team 11	Team 2
14	109	Team 3	Team 10
14	110	Team 9	Team 4
14	111	Team 5	Team 8
14	112	Team 7	Team 6
15	113	Team 16	Team 15
