Round	Game #	Home Team	Visitor Team
1	1	Team 28	Team 1
1	2	Team 27	Team 2
1	3	Team 3	Team 26
1	4	Team 25	Team 4
1	5	Team 5	Team 24
1	6	Team 23	Team 6
1	7	Team 7	Team 22
1	8	Team 21	Team 8
1	9	Team 9	Team 20
1	10	Team 19	Team 10
1	11	Team 11	Team 18
1	12	Team 17	Team 12
1	13	Team 13	Team 16
1	14	Team 15	Team 14
2	15	Team 2	Team 28
2	16	Team 1	Team 3
2	17	Team 4	Team 27
2	18	Team 26	Team 5
2	19	Team 6	Team 25
2	20	Team 24	Team 7
2	21	Team 8	Team 23
2	22	Team 22	Team 9
2	23	Team 10	Team 21
2	24	Team 20	Team 11
2	25	Team 12	Team 19
2	26	Team 18	Team 13
2	27	Team 14	Team 17
2	28	Team 16	Team 15
3	29	Team 28	Team 3
3	30	Team 2	Team 4
3	31	Team 5	Team 1
3	32	Team 27	Team 6
3	33	Team 7	Team 26
3	34	Team 25	Team 8
3	35	Team 9	Team 24
3	36	Team 23	Team 10
3	37	Team 11	Team 22
3	38	Team 21	Team 12
3	39	Team 13	Team 20
3	40	Team 19	Team 14
3	41	Team 15	Team 18
3	42	Team 17	Team 16
4	43	Team 4	Team 28
4	44	Team 3	Team 5
4	45	Team 6	Team 2
4	46	Team 1	Team 7
4	47	Team 8	Team 27
4	48	Team 26	Team 9
4	49	Team 10	Team 25
4	50	Team 24	Team 11
4	51	Team 12	Team 23
4	52	Team 22	Team 13
4	53	Team 14	Team 21
4	54	Team 20	Team 15
4	55	Team 16	Team 19
4	56	Team 18	Team 17
5	57	Team 28	Team 5
5	58	Team 4	Team 6
5	59	Team 7	Team 3
5	60	Team 2	Team 8
5	61	Team 9	Team 1
5	62	Team 27	Team 10
5	63	Team 11	Team 26
5	64	Team 25	Team 12
5	65	Team 13	Team 24
5	66	Team 23	Team 14
5	67	Team 15	Team 22
5	68	Team 21	Team 16
5	69	Team 17	Team 20
5	70	Team 19	Team 18
6	71	Team 6	Team 28
6	72	Team 5	Team 7
6	73	Team 8	Team 4
6	74	Team 3	Team 9
6	75	Team 10	Team 2
6	76	Team 1	Team 11
6	77	Team 12	Team 27
6	78	Team 26	Team 13
6	79	Team 14	Team 25
6	80	Team 24	Team 15
6	81	Team 16	Team 23
6	82	Team 22	Team 17
6	83	Team 18	Team 21
6	84	Team 20	Team 19
7	85	Team 28	Team 7
7	86	Team 6	Team 8
7	87	Team 9	Team 5
7	88	Team 4	Team 10
7	89	Team 11	Team 3
7	90	Team 2	Team 12
7	91	Team 13	Team 1
7	92	Team 27	Team 14
7	93	Team 15	Team 26
7	94	Team 25	Team 16
7	95	Team 17	Team 24
7	96	Team 23	Team 18
7	97	Team 19	Team 22
7	98	Team 21	Team 20
8	99	Team 8	Team 28
8	100	Team 7	Team 9
8	101	Team 10	Team 6
8	102	Team 5	Team 11
8	103	Team 12	Team 4
8	104	Team 3	Team 13
8	105	Team 14	Team 2
8	106	Team 1	Team 15
8	107	Team 16	Team 27
8	108	Team 26	Team 17
8	109	Team 18	Team 25
8	110	Team 24	Team 19
8	111	Team 20	Team 23
8	112	Team 22	Team 21
9	113	Team 28	Team 9
9	114	Team 8	Team 10
9	115	Team 11	Team 7
9	116	Team 6	Team 12
9	117	Team 13	Team 5
9	118	Team 4	Team 14
9	119	Team 15	Team 3
9	120	Team 2	Team 16
9	121	Team 17	Team 1
9	122	Team 27	Team 18
9	123	Team 19	Team 26
9	124	Team 25	Team 20
9	125	Team 21	Team 24
9	126	Team 23	Team 22
10	127	Team 10	Team 28
10	128	Team 9	Team 11
10	129	Team 12	Team 8
10	130	Team 7	Team 13
10	131	Team 14	Team 6
10	132	Team 5	Team 15
10	133	Team 16	Team 4
10	134	Team 3	Team 17
10	135	Team 18	Team 2
10	136	Team 1	Team 19
10	137	Team 20	Team 27
10	138	Team 26	Team 21
10	139	Team 22	Team 25
10	140	Team 24	Team 23
11	141	Team 28	Team 11
11	142	Team 10	Team 12
11	143	Team 13	Team 9
11	144	Team 8	Team 14
11	145	Team 15	Team 7
11	146	Team 6	Team 16
11	147	Team 17	Team 5
11	148	Team 4	Team 18
11	149	Team 19	Team 3
11	150	Team 2	Team 20
11	151	Team 21	Team 1
11	152	Team 27	Team 22
11	153	Team 23	Team 26
11	154	Team 25	Team 24
12	155	Team 12	Team 28
12	156	Team 11	Team 13
12	157	Team 14	Team 10
12	158	Team 9	Team 15
12	159	Team 16	Team 8
12	160	Team 7	Team 17
12	161	Team 18	Team 6
12	162	Team 5	Team 19
12	163	Team 20	Team 4
12	164	Team 3	Team 21
12	165	Team 22	Team 2
12	166	Team 1	Team 23
12	167	Team 24	Team 27
12	168	Team 26	Team 25
13	169	Team 28	Team 13
13	170	Team 12	Team 14
13	171	Team 15	Team 11
13	172	Team 10	Team 16
13	173	Team 17	Team 9
13	174	Team 8	Team 18
13	175	Team 19	Team 7
13	176	Team 6	Team 20
13	177	Team 21	Team 5
13	178	Team 4	Team 22
13	179	Team 23	Team 3
13	180	Team 2	Team 24
13	181	Team 25	Team 1
13	182	Team 27	Team 26
14	183	Team 14	Team 28
14	184	Team 13	Team 15
14	185	Team 16	Team 12
14	186	Team 11	Team 17
14	187	Team 18	Team 10
14	188	Team 9	Team 19
14	189	Team 20	Team 8
14	190	Team 7	Team 21
14	191	Team 22	Team 6
14	192	Team 5	Team 23
14	193	Team 24	Team 4
14	194	Team 3	Team 25
14	195	Team 26	Team 2
14	196	Team 1	Team 27
15	197	Team 28	Team 15
15	198	Team 14	Team 16
15	199	Team 17	Team 13
15	200	Team 12	Team 18
15	201	Team 19	Team 11
15	202	Team 10	Team 20
15	203	Team 21	Team 9
15	204	Team 8	Team 22
15	205	Team 23	Team 7
15	206	Team 6	Team 24
15	207	Team 25	Team 5
15	208	Team 4	Team 26
15	209	Team 27	Team 3
15	210	Team 2	Team 1
16	211	Team 16	Team 28
16	212	Team 15	Team 17
16	213	Team 18	Team 14
16	214	Team 13	Team 19
16	215	Team 20	Team 12
16	216	Team 11	Team 21
16	217	Team 22	Team 10
16	218	Team 9	Team 23
16	219	Team 24	Team 8
16	220	Team 7	Team 25
16	221	Team 26	Team 6
16	222	Team 5	Team 27
16	223	Team 1	Team 4
16	224	Team 3	Team 2
17	225	Team 28	Team 17
17	226	Team 16	Team 18
17	227	Team 19	Team 15
17	228	Team 14	Team 20
17	229	Team 21	Team 13
17	230	Team 12	Team 22
17	231	Team 23	Team 11
17	232	Team 10	Team 24
17	233	Team 25	Team 9
17	234	Team 8	Team 26
17	235	Team 27	Team 7
17	236	Team 6	Team 1
17	237	Team 2	Team 5
17	238	Team 4	Team 3
18	239	Team 18	Team 28
