Round	Game #	Home Team	Visitor Team
1	1	Team 2	Team 9
1	2	Team 8	Team 3
1	3	Team 4	Team 7
1	4	Team 6	Team 5
2	5	Team 3	Team 1
2	6	Team 9	Team 4
2	7	Team 5	Team 8
2	8	Team 7	Team 6
3	9	Team 4	Team 2
3	10	Team 1	Team 5
3	11	Team 6	Team 9
3	12	Team 8	Team 7
4	13	Team 5	Team 3
4	14	Team 2	Team 6
4	15	Team 7	Team 1
4	16	Team 9	Team 8
5	17	Team 6	Team 4
5	18	Team 3	Team 7
5	19	Team 8	Team 2
5	20	Team 1	Team 9
6	21	Team 7	Team 5
6	22	Team 4	Team 8
6	23	Team 9	Team 3
6	24	Team 2	Team 1
7	25	Team 8	Team 6
7	26	Team 5	Team 9
7	27	Team 1	Team 4
7	28	Team 3	Team 2
8	29	Team 9	Team 7
8	30	Team 6	Team 1
8	31	Team 2	Team 5
8	32	Team 4	Team 3
9	33	Team 1	Team 8
9	34	Team 7	Team 2
9	35	Team 3	Team 6
9	36	Team 5	Team 4
10	37	Team 9	Team 2
10	38	Team 3	Team 8
10	39	Team 7	Team 4
10	40	Team 5	Team 6
11	41	Team 1	Team 3
11	42	Team 4	Team 9
11	43	Team 8	Team 5
11	44	Team 6	Team 7
12	45	Team 2	Team 4
12	46	Team 5	Team 1
12	47	Team 9	Team 6
12	48	Team 7	Team 8
13	49	Team 3	Team 5
13	50	Team 6	Team 2
13	51	Team 1	Team 7
13	52	Team 8	Team 9
14	53	Team 4	Team 6
14	54	Team 7	Team 3
14	55	Team 2	Team 8
14	56	Team 9	Team 1
15	57	Team 5	Team 7
15	58	Team 8	Team 4
15	59	Team 3	Team 9
15	60	Team 1	Team 2
16	61	Team 6	Team 8
16	62	Team 9	Team 5
16	63	Team 4	Team 1
16	64	Team 2	Team 3
17	65	Team 7	Team 9
17	66	Team 1	Team 6
17	67	Team 5	Team 2
17	68	Team 3	Team 4
18	69	Team 8	Team 1
18	70	Team 2	Team 7
