Round	Game #	Home Team	Visitor Team
1	1	Team 24	Team 1
1	2	Team 23	Team 2
1	3	Team 3	Team 22
1	4	Team 21	Team 4
1	5	Team 5	Team 20
1	6	Team 19	Team 6
1	7	Team 7	Team 18
1	8	Team 17	Team 8
1	9	Team 9	Team 16
1	10	Team 15	Team 10
1	11	Team 11	Team 14
1	12	Team 13	Team 12
2	13	Team 2	Team 24
2	14	Team 1	Team 3
2	15	Team 4	Team 23
2	16	Team 22	Team 5
2	17	Team 6	Team 21
2	18	Team 20	Team 7
2	19	Team 8	Team 19
2	20	Team 18	Team 9
2	21	Team 10	Team 17
2	22	Team 16	Team 11
2	23	Team 12	Team 15
2	24	Team 14	Team 13
3	25	Team 24	Team 3
3	26	Team 2	Team 4
3	27	Team 5	Team 1
3	28	Team 23	Team 6
3	29	Team 7	Team 22
3	30	Team 21	Team 8
3	31	Team 9	Team 20
3	32	Team 19	Team 10
3	33	Team 11	Team 18
3	34	Team 17	Team 12
3	35	Team 13	Team 16
3	36	Team 15	Team 14
4	37	Team 4	Team 24
4	38	Team 3	Team 5
4	39	Team 6	Team 2
4	40	Team 1	Team 7
4	41	Team 8	Team 23
4	42	Team 22	Team 9
4	43	Team 10	Team 21
4	44	Team 20	Team 11
4	45	Team 12	Team 19
4	46	Team 18	Team 13
4	47	Team 14	Team 17
4	48	Team 16	Team 15
5	49	Team 24	Team 5
5	50	Team 4	Team 6
5	51	Team 7	Team 3
5	52	Team 2	Team 8
5	53	Team 9	Team 1
5	54	Team 23	Team 10
5	55	Team 11	Team 22
5	56	Team 21	Team 12
5	57	Team 13	Team 20
5	58	Team 19	Team 14
5	59	Team 15	Team 18
5	60	Team 17	Team 16
6	61	Team 6	Team 24
6	62	Team 5	Team 7
6	63	Team 8	Team 4
6	64	Team 3	Team 9
6	65	Team 10	Team 2
6	66	Team 1	Team 11
6	67	Team 12	Team 23
6	68	Team 22	Team 13
6	69	Team 14	Team 21
6	70	Team 20	Team 15
6	71	Team 16	Team 19
6	72	Team 18	Team 17
7	73	Team 24	Team 7
7	74	Team 6	Team 8
7	75	Team 9	Team 5
7	76	Team 4	Team 10
7	77	Team 11	Team 3
7	78	Team 2	Team 12
7	79	Team 13	Team 1
7	80	Team 23	Team 14
7	81	Team 15	Team 22
7	82	Team 21	Team 16
7	83	Team 17	Team 20
7	84	Team 19	Team 18
8	85	Team 8	Team 24
8	86	Team 7	Team 9
8	87	Team 10	Team 6
