Round	Game #	Home Team	Visitor Team
1	1	Team 1	Team 2
2	2	Team 2	Team 1
3	3	Team 1	Team 2
4	4	Team 2	Team 1
5	5	Team 1	Team 2
6	6	Team 2	Team 1
7	7	Team 1	Team 2
8	8	Team 2	Team 1
9	9	Team 1	Team 2
10	10	Team 2	Team 1
11	11	Team 1	Team 2
12	12	Team 2	Team 1
13	13	Team 1	Team 2
14	14	Team 2	Team 1
15	15	Team 1	Team 2
16	16	Team 2	Team 1
17	17	Team 1	Team 2
18	18	Team 2	Team 1
19	19	Team 1	Team 2
20	20	Team 2	Team 1
21	21	Team 1	Team 2
22	22	Team 2	Team 1
23	23	Team 1	Team 2
24	24	Team 2	Team 1
25	25	Team 1	Team 2
26	26	Team 2	Team 1
27	27	Team 1	Team 2
28	28	Team 2	Team 1
29	29	Team 1	Team 2
30	30	Team 2	Team 1
31	31	Team 1	Team 2
32	32	Team 2	Team 1
33	33	Team 1	Team 2
34	34	Team 2	Team 1
35	35	Team 1	Team 2
36	36	Team 2	Team 1
37	37	Team 1	Team 2
38	38	Team 2	Team 1
39	39	Team 1	Team 2
40	40	Team 2	Team 1
41	41	Team 1	Team 2
42	42	Team 2	Team 1
43	43	Team 1	Team 2
44	44	Team 2	Team 1
45	45	Team 1	Team 2
46	46	Team 2	Team 1
47	47	Team 1	Team 2
48	48	Team 2	Team 1
49	49	Team 1	Team 2
50	50	Team 2	Team 1
51	51	Team 1	Team 2
52	52	Team 2	Team 1
53	53	Team 1	Team 2
54	54	Team 2	Team 1
