Round	Game #	Home Team	Visitor Team
1	1	Team 2	Team 3
2	2	Team 3	Team 1
3	3	Team 1	Team 2
4	4	Team 3	Team 2
5	5	Team 1	Team 3
6	6	Team 2	Team 1
7	7	Team 2	Team 3
8	8	Team 3	Team 1
9	9	Team 1	Team 2
10	10	Team 3	Team 2
11	11	Team 1	Team 3
12	12	Team 2	Team 1
13	13	Team 2	Team 3
14	14	Team 3	Team 1
15	15	Team 1	Team 2
16	16	Team 3	Team 2
17	17	Team 1	Team 3
18	18	Team 2	Team 1
19	19	Team 2	Team 3
20	20	Team 3	Team 1
21	21	Team 1	Team 2
22	22	Team 3	Team 2
23	23	Team 1	Team 3
24	24	Team 2	Team 1
25	25	Team 2	Team 3
26	26	Team 3	Team 1
27	27	Team 1	Team 2
28	28	Team 3	Team 2
29	29	Team 1	Team 3
30	30	Team 2	Team 1
31	31	Team 2	Team 3
32	32	Team 3	Team 1
33	33	Team 1	Team 2
34	34	Team 3	Team 2
35	35	Team 1	Team 3
36	36	Team 2	Team 1
37	37	Team 2	Team 3
38	38	Team 3	Team 1
39	39	Team 1	Team 2
40	40	Team 3	Team 2
41	41	Team 1	Team 3
42	42	Team 2	Team 1
43	43	Team 2	Team 3
44	44	Team 3	Team 1
45	45	Team 1	Team 2
46	46	Team 3	Team 2
47	47	Team 1	Team 3
48	48	Team 2	Team 1
49	49	Team 2	Team 3
50	50	Team 3	Team 1
51	51	Team 1	Team 2
52	52	Team 3	Team 2
53	53	Team 1	Team 3
54	54	Team 2	Team 1
55	55	Team 2	Team 3
56	56	Team 3	Team 1
57	57	Team 1	Team 2
58	58	Team 3	Team 2
59	59	Team 1	Team 3
60	60	Team 2	Team 1
61	61	Team 2	Team 3
62	62	Team 3	Team 1
63	63	Team 1	Team 2
64	64	Team 3	Team 2
65	65	Team 1	Team 3
66	66	Team 2	Team 1
67	67	Team 2	Team 3
68	68	Team 3	Team 1
69	69	Team 1	Team 2
70	70	Team 3	Team 2
71	71	Team 1	Team 3
72	72	Team 2	Team 1
73	73	Team 2	Team 3
74	74	Team 3	Team 1
75	75	Team 1	Team 2
76	76	Team 3	Team 2
77	77	Team 1	Team 3
78	78	Team 2	Team 1
79	79	Team 2	Team 3
80	80	Team 3	Team 1
81	81	Team 1	Team 2
