Round	Game #	Home Team	Visitor Team
1	1	Team 30	Team 1
1	2	Team 29	Team 2
1	3	Team 3	Team 28
1	4	Team 27	Team 4
1	5	Team 5	Team 26
1	6	Team 25	Team 6
1	7	Team 7	Team 24
1	8	Team 23	Team 8
1	9	Team 9	Team 22
1	10	Team 21	Team 10
1	11	Team 11	Team 20
1	12	Team 19	Team 12
1	13	Team 13	Team 18
1	14	Team 17	Team 14
1	15	Team 15	Team 16
2	16	Team 2	Team 30
2	17	Team 1	Team 3
2	18	Team 4	Team 29
2	19	Team 28	Team 5
2	20	Team 6	Team 27
2	21	Team 26	Team 7
2	22	Team 8	Team 25
2	23	Team 24	Team 9
2	24	Team 10	Team 23
2	25	Team 22	Team 11
2	26	Team 12	Team 21
2	27	Team 20	Team 13
2	28	Team 14	Team 19
2	29	Team 18	Team 15
2	30	Team 16	Team 17
3	31	Team 30	Team 3
3	32	Team 2	Team 4
3	33	Team 5	Team 1
3	34	Team 29	Team 6
3	35	Team 7	Team 28
3	36	Team 27	Team 8
3	37	Team 9	Team 26
3	38	Team 25	Team 10
3	39	Team 11	Team 24
3	40	Team 23	Team 12
3	41	Team 13	Team 22
3	42	Team 21	Team 14
3	43	Team 15	Team 20
3	44	Team 19	Team 16
3	45	Team 17	Team 18
4	46	Team 4	Team 30
4	47	Team 3	Team 5
4	48	Team 6	Team 2
4	49	Team 1	Team 7
4	50	Team 8	Team 29
4	51	Team 28	Team 9
4	52	Team 10	Team 27
4	53	Team 26	Team 11
4	54	Team 12	Team 25
4	55	Team 24	Team 13
4	56	Team 14	Team 23
4	57	Team 22	Team 15
4	58	Team 16	Team 21
4	59	Team 20	Team 17
4	60	Team 18	Team 19
5	61	Team 30	Team 5
5	62	Team 4	Team 6
5	63	Team 7	Team 3
5	64	Team 2	Team 8
5	65	Team 9	Team 1
5	66	Team 29	Team 10
5	67	Team 11	Team 28
5	68	Team 27	Team 12
5	69	Team 13	Team 26
5	70	Team 25	Team 14
5	71	Team 15	Team 24
5	72	Team 23	Team 16
5	73	Team 17	Team 22
5	74	Team 21	Team 18
5	75	Team 19	Team 20
6	76	Team 6	Team 30
6	77	Team 5	Team 7
6	78	Team 8	Team 4
6	79	Team 3	Team 9
6	80	Team 10	Team 2
6	81	Team 1	Team 11
6	82	Team 12	Team 29
6	83	Team 28	Team 13
6	84	Team 14	Team 27
6	85	Team 26	Team 15
6	86	Team 16	Team 25
6	87	Team 24	Team 17
6	88	Team 18	Team 23
6	89	Team 22	Team 19
6	90	Team 20	Team 21
7	91	Team 30	Team 7
7	92	Team 6	Team 8
7	93	Team 9	Team 5
7	94	Team 4	Team 10
7	95	Team 11	Team 3
7	96	Team 2	Team 12
7	97	Team 13	Team 1
7	98	Team 29	Team 14
7	99	Team 15	Team 28
7	100	Team 27	Team 16
7	101	Team 17	Team 26
7	102	Team 25	Team 18
7	103	Team 19	Team 24
7	104	Team 23	Team 20
7	105	Team 21	Team 22
8	106	Team 8	Team 30
8	107	Team 7	Team 9
8	108	Team 10	Team 6
8	109	Team 5	Team 11
8	110	Team 12	Team 4
8	111	Team 3	Team 13
8	112	Team 14	Team 2
8	113	Team 1	Team 15
8	114	Team 16	Team 29
8	115	Team 28	Team 17
8	116	Team 18	Team 27
8	117	Team 26	Team 19
8	118	Team 20	Team 25
8	119	Team 24	Team 21
8	120	Team 22	Team 23
9	121	Team 30	Team 9
9	122	Team 8	Team 10
9	123	Team 11	Team 7
9	124	Team 6	Team 12
9	125	Team 13	Team 5
9	126	Team 4	Team 14
9	127	Team 15	Team 3
9	128	Team 2	Team 16
9	129	Team 17	Team 1
9	130	Team 29	Team 18
9	131	Team 19	Team 28
9	132	Team 27	Team 20
9	133	Team 21	Team 26
9	134	Team 25	Team 22
9	135	Team 23	Team 24
10	136	Team 10	Team 30
10	137	Team 9	Team 11
10	138	Team 12	Team 8
10	139	Team 7	Team 13
10	140	Team 14	Team 6
10	141	Team 5	Team 15
10	142	Team 16	Team 4
10	143	Team 3	Team 17
10	144	Team 18	Team 2
10	145	Team 1	Team 19
10	146	Team 20	Team 29
10	147	Team 28	Team 21
10	148	Team 22	Team 27
10	149	Team 26	Team 23
10	150	Team 24	Team 25
11	151	Team 30	Team 11
11	152	Team 10	Team 12
11	153	Team 13	Team 9
11	154	Team 8	Team 14
11	155	Team 15	Team 7
11	156	Team 6	Team 16
11	157	Team 17	Team 5
11	158	Team 4	Team 18
11	159	Team 19	Team 3
11	160	Team 2	Team 20
11	161	Team 21	Team 1
11	162	Team 29	Team 22
11	163	Team 23	Team 28
11	164	Team 27	Team 24
11	165	Team 25	Team 26
12	166	Team 12	Team 30
12	167	Team 11	Team 13
12	168	Team 14	Team 10
12	169	Team 9	Team 15
12	170	Team 16	Team 8
12	171	Team 7	Team 17
12	172	Team 18	Team 6
12	173	Team 5	Team 19
12	174	Team 20	Team 4
12	175	Team 3	Team 21
12	176	Team 22	Team 2
12	177	Team 1	Team 23
12	178	Team 24	Team 29
12	179	Team 28	Team 25
12	180	Team 26	Team 27
13	181	Team 30	Team 13
13	182	Team 12	Team 14
13	183	Team 15	Team 11
13	184	Team 10	Team 16
13	185	Team 17	Team 9
13	186	Team 8	Team 18
13	187	Team 19	Team 7
13	188	Team 6	Team 20
